"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2068","search_code","Firefox 1920 - dark mode","Thu Jan 16 12:53:11 UTC 2025","passed","Thu Jan 16 12:53:13 UTC 2025","","searxng.spec.js","",""
"","1724","search_general","Firefox 1920 - rtl","Thu Jan 16 12:52:10 UTC 2025","passed","Thu Jan 16 12:52:11 UTC 2025","","searxng.spec.js","",""
"","649","about","Webkit 1920","Thu Jan 16 12:54:11 UTC 2025","passed","Thu Jan 16 12:54:12 UTC 2025","","searxng.spec.js","",""
"","1881","search_general","Firefox 1024 - centered - rtl","Thu Jan 16 12:50:52 UTC 2025","passed","Thu Jan 16 12:50:54 UTC 2025","","searxng.spec.js","",""
"","1929","search_code","Chromium 1920","Thu Jan 16 12:48:55 UTC 2025","passed","Thu Jan 16 12:48:56 UTC 2025","","searxng.spec.js","",""
"","3875","index","Mobile Chrome","Thu Jan 16 12:54:14 UTC 2025","passed","Thu Jan 16 12:54:18 UTC 2025","","searxng.spec.js","",""
"","5400","search_map","Firefox 1920","Thu Jan 16 12:49:17 UTC 2025","passed","Thu Jan 16 12:49:22 UTC 2025","","searxng.spec.js","",""
"","3876","index","Mobile Chrome - centered","Thu Jan 16 12:51:15 UTC 2025","passed","Thu Jan 16 12:51:19 UTC 2025","","searxng.spec.js","",""
"","4320","search_images","Firefox 1024","Thu Jan 16 12:50:01 UTC 2025","passed","Thu Jan 16 12:50:05 UTC 2025","","searxng.spec.js","",""
"","2638","search_general","Webkit 1920","Thu Jan 16 12:53:46 UTC 2025","passed","Thu Jan 16 12:53:49 UTC 2025","","searxng.spec.js","",""
"","4093","search_images","Firefox 1280","Thu Jan 16 12:49:34 UTC 2025","passed","Thu Jan 16 12:49:38 UTC 2025","","searxng.spec.js","",""
"","324","about","Firefox 1920 - rtl","Thu Jan 16 12:52:29 UTC 2025","passed","Thu Jan 16 12:52:29 UTC 2025","","searxng.spec.js","",""
"","3858","index","Firefox 1024 - centered - rtl","Thu Jan 16 12:50:48 UTC 2025","passed","Thu Jan 16 12:50:52 UTC 2025","","searxng.spec.js","",""
"","2166","preferences","Firefox 1920 - rtl","Thu Jan 16 12:52:03 UTC 2025","passed","Thu Jan 16 12:52:05 UTC 2025","","searxng.spec.js","",""
"","1853","search_general","Firefox 1280","Thu Jan 16 12:49:32 UTC 2025","passed","Thu Jan 16 12:49:34 UTC 2025","","searxng.spec.js","",""
"","3852","index","Chromium 1920","Thu Jan 16 12:48:30 UTC 2025","passed","Thu Jan 16 12:48:34 UTC 2025","","searxng.spec.js","",""
"","5481","search_map","Firefox 1280","Thu Jan 16 12:49:44 UTC 2025","passed","Thu Jan 16 12:49:50 UTC 2025","","searxng.spec.js","",""
"","6220","search_videos","Firefox 1024","Thu Jan 16 12:50:05 UTC 2025","passed","Thu Jan 16 12:50:11 UTC 2025","","searxng.spec.js","",""
"","345","about","Firefox 1920","Thu Jan 16 12:49:24 UTC 2025","passed","Thu Jan 16 12:49:25 UTC 2025","","searxng.spec.js","",""
"","1747","search_general","Mobile Chrome - centered - rtl","Thu Jan 16 12:51:46 UTC 2025","passed","Thu Jan 16 12:51:47 UTC 2025","","searxng.spec.js","",""
"","3889","index","Firefox 1920 - dark mode","Thu Jan 16 12:52:49 UTC 2025","passed","Thu Jan 16 12:52:53 UTC 2025","","searxng.spec.js","",""
"","7719","search_images","Chromium 1920","Thu Jan 16 12:48:36 UTC 2025","passed","Thu Jan 16 12:48:44 UTC 2025","","searxng.spec.js","",""
"","2203","search_general","Chromium 1920","Thu Jan 16 12:48:34 UTC 2025","passed","Thu Jan 16 12:48:36 UTC 2025","","searxng.spec.js","",""
"","1543","search_code","Chrome 1920 - high contrast","Thu Jan 16 12:53:35 UTC 2025","passed","Thu Jan 16 12:53:37 UTC 2025","","searxng.spec.js","",""
"","2143","search_code","Firefox 1024 - centered","Thu Jan 16 12:50:42 UTC 2025","passed","Thu Jan 16 12:50:45 UTC 2025","","searxng.spec.js","",""
"","6523","search_videos","Firefox 1920 - rtl","Thu Jan 16 12:52:16 UTC 2025","passed","Thu Jan 16 12:52:22 UTC 2025","","searxng.spec.js","",""
"","5033","search_map","Firefox 1024 - centered","Thu Jan 16 12:50:37 UTC 2025","passed","Thu Jan 16 12:50:42 UTC 2025","","searxng.spec.js","",""
"","1526","preferences","Mobile Chrome","Thu Jan 16 12:54:12 UTC 2025","passed","Thu Jan 16 12:54:14 UTC 2025","","searxng.spec.js","",""
"","3398","search_images","Firefox 1024 - centered","Thu Jan 16 12:50:27 UTC 2025","passed","Thu Jan 16 12:50:31 UTC 2025","","searxng.spec.js","",""
"","344","about","Firefox 1920 - no js","Thu Jan 16 12:52:46 UTC 2025","passed","Thu Jan 16 12:52:46 UTC 2025","","searxng.spec.js","",""
"","2989","search_images","Mobile Chrome - centered - rtl","Thu Jan 16 12:51:47 UTC 2025","passed","Thu Jan 16 12:51:50 UTC 2025","","searxng.spec.js","",""
"","1823","search_general","Firefox 1920 - dark mode","Thu Jan 16 12:52:53 UTC 2025","passed","Thu Jan 16 12:52:55 UTC 2025","","searxng.spec.js","",""
"","213","about","Mobile Chrome - centered - rtl","Thu Jan 16 12:52:03 UTC 2025","passed","Thu Jan 16 12:52:03 UTC 2025","","searxng.spec.js","",""
"","2210","search_code","Firefox 1920","Thu Jan 16 12:49:22 UTC 2025","passed","Thu Jan 16 12:49:24 UTC 2025","","searxng.spec.js","",""
"","3830","preferences","Webkit 1920","Thu Jan 16 12:53:37 UTC 2025","passed","Thu Jan 16 12:53:41 UTC 2025","","searxng.spec.js","",""
"","1501","preferences","Mobile Chrome - centered - rtl","Thu Jan 16 12:51:40 UTC 2025","passed","Thu Jan 16 12:51:42 UTC 2025","","searxng.spec.js","",""
"","6907","search_videos","Firefox 1024 - centered - rtl","Thu Jan 16 12:50:57 UTC 2025","passed","Thu Jan 16 12:51:04 UTC 2025","","searxng.spec.js","",""
"","1734","search_general","Mobile Chrome - centered","Thu Jan 16 12:51:19 UTC 2025","passed","Thu Jan 16 12:51:21 UTC 2025","","searxng.spec.js","",""
"","1666","search_code","Firefox 1920 - rtl","Thu Jan 16 12:52:27 UTC 2025","passed","Thu Jan 16 12:52:29 UTC 2025","","searxng.spec.js","",""
"","2113","search_general","Firefox 1024 - centered","Thu Jan 16 12:50:25 UTC 2025","passed","Thu Jan 16 12:50:27 UTC 2025","","searxng.spec.js","",""
"","3850","index","Firefox 1024 - centered","Thu Jan 16 12:50:21 UTC 2025","passed","Thu Jan 16 12:50:25 UTC 2025","","searxng.spec.js","",""
"","3887","index","Chrome 1920 - high contrast","Thu Jan 16 12:53:16 UTC 2025","passed","Thu Jan 16 12:53:19 UTC 2025","","searxng.spec.js","",""
"","6247","search_videos","Mobile Chrome - centered","Thu Jan 16 12:51:24 UTC 2025","passed","Thu Jan 16 12:51:31 UTC 2025","","searxng.spec.js","",""
"","3854","index","Firefox 1024","Thu Jan 16 12:49:55 UTC 2025","passed","Thu Jan 16 12:49:59 UTC 2025","","searxng.spec.js","",""
"","2015","preferences","Firefox 1920 - no js","Thu Jan 16 12:52:30 UTC 2025","passed","Thu Jan 16 12:52:32 UTC 2025","","searxng.spec.js","",""
"","235","about","Chrome 1920 - high contrast","Thu Jan 16 12:53:37 UTC 2025","passed","Thu Jan 16 12:53:37 UTC 2025","","searxng.spec.js","",""
"","4583","search_images","Firefox 1920 - no js","Thu Jan 16 12:52:35 UTC 2025","passed","Thu Jan 16 12:52:39 UTC 2025","","searxng.spec.js","",""
"","243","about","Mobile Chrome","Thu Jan 16 12:54:35 UTC 2025","passed","Thu Jan 16 12:54:35 UTC 2025","","searxng.spec.js","",""
"","1964","preferences","Firefox 1024 - centered - rtl","Thu Jan 16 12:50:46 UTC 2025","passed","Thu Jan 16 12:50:48 UTC 2025","","searxng.spec.js","",""
"","1628","search_code","Firefox 1920 - no js","Thu Jan 16 12:52:44 UTC 2025","passed","Thu Jan 16 12:52:46 UTC 2025","","searxng.spec.js","",""
"","7180","search_map","Mobile Chrome - centered","Thu Jan 16 12:51:31 UTC 2025","passed","Thu Jan 16 12:51:38 UTC 2025","","searxng.spec.js","",""
"","1764","search_code","Firefox 1280","Thu Jan 16 12:49:50 UTC 2025","passed","Thu Jan 16 12:49:51 UTC 2025","","searxng.spec.js","",""
"","308","about","Firefox 1024 - centered - rtl","Thu Jan 16 12:51:12 UTC 2025","passed","Thu Jan 16 12:51:13 UTC 2025","","searxng.spec.js","",""
"","7081","search_images","Webkit 1920","Thu Jan 16 12:53:49 UTC 2025","passed","Thu Jan 16 12:53:56 UTC 2025","","searxng.spec.js","",""
"","1951","preferences","Firefox 1024 - centered","Thu Jan 16 12:50:19 UTC 2025","passed","Thu Jan 16 12:50:21 UTC 2025","","searxng.spec.js","",""
"","5717","search_videos","Mobile Chrome","Thu Jan 16 12:54:23 UTC 2025","passed","Thu Jan 16 12:54:28 UTC 2025","","searxng.spec.js","",""
"","4789","search_map","Firefox 1920 - rtl","Thu Jan 16 12:52:22 UTC 2025","passed","Thu Jan 16 12:52:27 UTC 2025","","searxng.spec.js","",""
"","308","about","Firefox 1024","Thu Jan 16 12:50:18 UTC 2025","passed","Thu Jan 16 12:50:18 UTC 2025","","searxng.spec.js","",""
"","4822","search_map","Mobile Chrome - centered - rtl","Thu Jan 16 12:51:56 UTC 2025","passed","Thu Jan 16 12:52:01 UTC 2025","","searxng.spec.js","",""
"","2238","preferences","Firefox 1920","Thu Jan 16 12:48:57 UTC 2025","passed","Thu Jan 16 12:48:59 UTC 2025","","searxng.spec.js","",""
"","1524","preferences","Mobile Chrome - centered","Thu Jan 16 12:51:14 UTC 2025","passed","Thu Jan 16 12:51:15 UTC 2025","","searxng.spec.js","",""
"","3898","index","Firefox 1920","Thu Jan 16 12:49:00 UTC 2025","passed","Thu Jan 16 12:49:04 UTC 2025","","searxng.spec.js","",""
"","308","about","Firefox 1280","Thu Jan 16 12:49:51 UTC 2025","passed","Thu Jan 16 12:49:52 UTC 2025","","searxng.spec.js","",""
"","1682","preferences","Chromium 1920","Thu Jan 16 12:48:28 UTC 2025","passed","Thu Jan 16 12:48:30 UTC 2025","","searxng.spec.js","",""
